id,time,values
1,2023:01:04 00:00:00,536.9
2,2023:01:04 00:00:00,334.1
3,2023:01:04 00:00:00,561.4
1,2023:01:04 00:10:00,133.0
2,2023:01:04 00:10:00,594.4
3,2023:01:04 00:10:00,354.1
1,2023:01:04 00:20:00,109.8
2,2023:01:04 00:20:00,284.5
3,2023:01:04 00:20:00,570.3
1,2023:01:04 00:30:00,179.4
2,2023:01:04 00:30:00,63.2
3,2023:01:04 00:30:00,4.6
1,2023:01:04 00:40:00,570.7
2,2023:01:04 00:40:00,497.8
3,2023:01:04 00:40:00,496.5
1,2023:01:04 00:50:00,238.4
2,2023:01:04 00:50:00,14.6
3,2023:01:04 00:50:00,233.4
