id,time,values
1,2023:01:04 00:00:00,119.3
2,2023:01:04 00:00:00,330.4
3,2023:01:04 00:00:00,339.5
1,2023:01:04 00:10:00,155.4
2,2023:01:04 00:10:00,417.8
3,2023:01:04 00:10:00,49.8
1,2023:01:04 00:20:00,337.7
2,2023:01:04 00:20:00,294.2
3,2023:01:04 00:20:00,119.6
1,2023:01:04 00:30:00,249.7
2,2023:01:04 00:30:00,415.8
3,2023:01:04 00:30:00,426.3
1,2023:01:04 00:40:00,525.7
2,2023:01:04 00:40:00,19.5
3,2023:01:04 00:40:00,91.6
1,2023:01:04 00:50:00,414.4
2,2023:01:04 00:50:00,429.4
3,2023:01:04 00:50:00,250.3
