number of outliers: 25
id,time,values
3,2023:01:12 01:36:00,574.4
2,2023:01:12 05:16:00,599.9
1,2023:01:12 05:36:00,605.7
3,2023:01:12 05:36:00,569.6
1,2023:01:12 07:56:00,592.2
2,2023:01:12 09:56:00,563.8
2,2023:01:12 11:16:00,567.9
3,2023:01:12 12:16:00,592.5
2,2023:01:12 13:16:00,591
2,2023:01:12 13:56:00,597.9
1,2023:01:12 15:16:00,563.2
1,2023:01:12 16:36:00,568.9
1,2023:01:12 18:36:00,566.3
2,2023:01:12 19:16:00,3.2
1,2023:01:12 20:16:00,590.2
3,2023:01:12 20:16:00,551.1
1,2023:01:12 20:36:00,565.8
2,2023:01:12 20:36:00,578.5
2,2023:01:12 20:56:00,574.9
1,2023:01:12 23:36:00,576.9
3,2023:01:12 23:36:00,568.5
1,2023:01:12 23:56:00,570.2
3,2023:01:13 00:56:00,591.9
2,2023:01:13 01:16:00,0
1,2023:01:13 06:16:00,582.7
